Line Number,Location path code,selection,source,word,menu,menu_ff
3025,,GOLF CART RIDE,MENU,,GOLF CART RIDE,GOLF CART RIDE
3026,,GOLF CART RIDE,MENU,,GOLF CART RIDE,GOLF CART RIDE
3027,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
3028,,BODY,MENU,,BODY,BODY
3029,,TODAY,FINAL,Today,,BODY
3030,,NO LIKE,FINAL,No like,,BODY
3031,,NO LIKE,FINAL,No like,,BODY
3032,,ELLIE,FINAL,Ellie,,BODY
3033,,I FEEL GOOD,FINAL,I feel good,,BODY
3034,,NO LIKE,FINAL,No like,,BODY
3035,,ELLIE,FINAL,Ellie,,BODY
3036,,OUCH,FINAL,Ouch,,BODY
3037,,OUCH,FINAL,Ouch,,BODY
3038,,I FEEL GOOD,FINAL,I feel good,,BODY
3040,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
3041,,FEELINGS,MENU,,FEELINGS,FEELINGS
3042,,GAMES,FINAL,Games,,FEELINGS
3043,,GAMES,FINAL,Games,,FEELINGS
3044,,CRAFTS,FINAL,Crafts,,FEELINGS
3046,,COLORING,FINAL,Coloring,,FEELINGS
3047,,BABY UNICORN,FINAL,Baby Unicorn,,FEELINGS
3048,,COLORING,FINAL,Coloring,,FEELINGS
3049,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
3050,,TEMPERATURE,MENU,,TEMPERATURE,TEMPERATURE
3051,,COOL,MENU,,COOL,COOL
3052,,LIKE,FINAL,like,,COOL
3053,,LIKE,FINAL,like,,COOL
3054,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,COOL
3055,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,COOL
3056,,TALK ABOUT,FINAL,Talk about,,COOL
3057,,I FEEL COOL,FINAL,I feel cool,,COOL
3058,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
3059,,FEELINGS,MENU,,FEELINGS,FEELINGS
3060,,HAPPY,MENU,,HAPPY,HAPPY
3061,,I FEEL HAPPY,FINAL,I feel happy,,HAPPY
3062,,I FELT HAPPY,FINAL,I felt happy,,HAPPY
3063,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
3064,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
3065,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
3066,,I WANT TO FEEL HAPPY,FINAL,I want to feel happy,,HAPPY
3067,,I FEEL HAPPY,FINAL,I feel happy,,HAPPY
3068,,I FEEL HAPPY,FINAL,I feel happy,,HAPPY
3069,,PRESENT,FINAL,Present,,HAPPY
3070,,SANTA,FINAL,Santa,,HAPPY
3071,,SANTA,FINAL,Santa,,HAPPY
3072,,GAMES,FINAL,Games,,HAPPY
3074,,BOOK,FINAL,Book,,HAPPY
3075,,CHRISTMAS MUSIC,FINAL,Christmas Music,,HAPPY
3076,,CHRISTMAS CARTOONS,FINAL,Christmas Cartoons,,HAPPY
3078,,ALEXA PLAY VIVALDI,FINAL,Alexa play Vivaldi,,HAPPY
3079,,ALEXA PLAY YIRUMA,FINAL,Alexa play Yiruma,,HAPPY
